"139","N/A_104","N/A_104",,"1 1/4","7/8","147","Gold & Silver","N/A","NA_104.jpg","16","29"
"146","G33_1","G33_1",,"1","1 1/4","49","Placer","G-33","G33_1_1.jpg","12","13"
"147","G33_2","G33_2",,"1 1/2","7/8","49","Placer","G-33","G33_2_1.jpg","20","29"
"148","G33_3","G33_3",,"2","1","49","Placer","G-33","G33_3_1.jpg","28","9"
"156","XG01_1","XG01_1",,"2 1/8","15/16","52","Java","N/A","G39_1.jpg","30","8"
"157","XG01_2","XG01_2",,"1","3/4","52","Java","N/A","G39_2.jpg","12","30"
"158","XG01_3","XG01_3",,"1 1/2","1 3/8","52","Java","N/A","G39_3.jpg","20","15"
"159","XG01_4","XG01_4",,"5/8","1/4","52","Java","N/A","G39_4.jpg","6","4"
"160","XG42_1","XG42_1",,"1 3/16","5/8","98","Pagoda","N/A","G41_1.gif","15","31"
"162","G45_1","G45_1",,"1 1/2","1","53","Plata","G-45","G45_1_2.jpg","20","9"
"163","G45_2","G45_2",,"1","7/8","53","Plata","G-45","G45_2_2.jpg","12","29"
"164","XG47_1","XG47_1",,"1 3/4","1","75","LATTA","N/A","G47_1.gif","24","9"
"165","XG49_1","XG49_1",,"2 3/4","1 3/8","54","Abacus","N/A","G49_1_1.jpg","36","15"
"168","G51A_1","G51A_1",,"1 1/2","1","123","Regia","G-51A","G51A_1_1.jpg","20","9"
"169","G51A_2","G51A_2",,"1","7/8","123","Regia","G-51A","G51A_2_1.jpg","12","29"
"184","N/A_105","N/A_105",,"1 5/8","15/16","147","Gold & Silver","N/A","G61_2.jpg","22","8"
"187","XG63_2","XG63_2",,"1 13/16","1 5/16","60","Bijou","N/A","G63_2.jpg","25","14"
"614","G75_1","G75_1",,"5/8","1 3/4","161","Liso IV","G-75","G75_1.jpg","6","20"
"189","H01_1","H01_1",,"1/2","3/4","61","Matt Black","H-1","H01_1.jpg","4","30"
"190","H01_2","H01_2",,"3/4","7/8","61","Matt Black","H-1","H1_2.jpg","8","29"
"191","H01_3","H01_3",,"3/4","13/16","61","Matt Black","H-1","H1_3.jpg","8","7"
"193","H01_5","H01_5",,"1","1 3/8","61","Matt Black","H-1","H1_5.jpg","12","15"
"194","H01_6","H01_6",,"1 3/8","7/8","61","Matt Black","H-1","H1_6_1.jpg","18","29"
"195","H01_7","H01_7",,"1 3/8","3/4","61","Matt Black","H-1","H01_7.jpg","18","30"
"196","H01_8","H01_8",,"7/8","3/4","61","Matt Black","H-1","H1_8.jpg","10","30"
"197","H03_1","H03_1",,"2 1/2","1 7/8","62","Black 06","H-3","H3_1.jpg","33","21"
"198","H03_2","H03_2",,"2 1/2","1 7/8","62","Black 06","H-3","H3_2.jpg","33","21"
"199","H03_3","H03_3",,"3","1 3/8","62","Black 06","H-3","H3_3.jpg","37","15"
"200","H03_4","H03_4",,"2","7/8","62","Black 06","H-3","H3_4.jpg","28","29"
"201","H03_5","H03_5",,"2 3/4","7/8","62","Black 06","H-3","H3_5.jpg","36","29"
"202","H03_6","H03_6",,"1","1 7/8","62","Black 06","H-3","H3_6.jpg","12","21"
"203","H05_1","H05_1",,"3/4","7/8","63","Matt Black","H-5","H5_1.jpg","8","29"
"204","H05_2","H05_2",,"1 1/4","1","63","Matt Black","H-5","H5_2.jpg","16","9"
"205","H05_3","H05_3",,"3/4","1 1/8","63","Matt Black","H-5","H5_3.jpg","8","11"
"206","H05_4","H05_4",,"1 5/8","1 3/8","63","Matt Black","H-5","H5_4.jpg","22","15"
"207","H05_5","H05_5",,"1 3/16","7/8","63","Matt Black","H-5","H5_5.jpg","15","29"
"208","H05_6","H05_6",,"1 7/16","1 3/16","63","Matt Black","H-5","H5_6.jpg","19","12"
"209","H05_7","H05_7",,"1 13/16","7/8","63","Matt Black","H-5","H5_7.jpg","25","29"
"210","H05_8","H05_8",,"2 5/8","1 1/8","63","Matt Black","H-5","H5_8.jpg","35","11"
"211","H05_9","H05_9",,"2 3/8","1 1/4","63","Matt Black","H-5","H5_9.jpg","32","13"
"212","H09_1","H09_1",,"7/8","7/8","64","Magnificent 7","H-9","H9_1.jpg","10","29"
"213","H09_2","H09_2",,"2","1 3/8","64","Magnificent 7","H-9","H9_2.jpg","28","15"
"214","H09_3","H09_3",,"1 9/16","2 3/8","64","Magnificent 7","H-9","H9_3.jpg","21","26"
"215","H09_4","H09_4",,"1 1/8","2","64","Magnificent 7","H-9","H9_4.jpg","14","22"
"216","H09_5","H09_5",,"7/8","1 1/16","64","Magnificent 7","H-9","H9_5.jpg","10","10"
"218","H09_7","H09_7",,"7/8","3","64","Magnificent 7","H-9","H9_7.jpg","10","28"
"220","H13_1","H13_1",,"5/8","1 3/4","66","MVP Collection","H-13","H13_1.jpg","6","20"
"221","H13_2","H13_2",,"2","15/16","66","MVP Collection","H-13","H13_2.jpg","28","8"
"222","H13_3","H13_3",,"1 3/8","15/16","66","MVP Collection","H-13","H13_3.jpg","18","8"
"223","H13_4","H13_4",,"1 1/8","7/8","66","MVP Collection","H-13","H13_4.jpg","14","29"
"224","H13_5","H13_5",,"1 1/2","1","66","MVP Collection","H-13","H13_5.gif","20","9"
"225","H13_6","H13_6",,"2","1 3/16","66","MVP Collection","H-13","H13_6.jpg","28","12"
"226","H13_7","H13_7",,"1 5/8","1 3/16","66","MVP Collection","H-13","H13_7.jpg","22","12"
"227","H13_8","H13_8",,"2","1 1/8","66","MVP Collection","H-13","H13_8.jpg","28","11"
"228","H13_9","H13_9",,"2 3/8","7/8","66","MVP Collection","H-13","H13_9.jpg","32","29"
"234","H17_1","H17_1",,"1 1/2","7/8","68","Omni","H-17","H17_1_1.jpg","20","29"
"235","H17_2","H17_2",,"2 1/4","1 1/8","68","Omni","H-17","H17_2_1.jpg","31","11"
"236","H17_3","H17_3",,"3","1 3/8","68","Omni","H-17","H17_3_1.jpg","37","15"
"559","A23_1","A23_1",,"1 3/16","7/8","11","Honors","A-23","A23_1_2.jpg","15","29"
"372","XV01_1","XV01_1",,"3/4","1 1/8","107","Mezzo","N/A","E29_1.gif","8","11"
"387","H27_2","H27_2",,"13/16","2 5/8","111","Matt Black","H-27","H27_2.jpg","9","27"
"271","XG42_3","XG42_3",,"2 1/2","1 1/8","98","Pagoda","N/A","G41_3.gif","33","11"
"273","XG47_2","XG47_2",,"1 3/16","7/8","75","LATTA","N/A","G47_2.gif","15","29"
"279","A23_2","A23_2",,"1 3/4","7/8","11","Honors","A-23","A23_2_2.jpg","24","29"
"284","H07_1","H07_1",,"1 5/8","13/16","80","Black 07","H-7","H7_1.jpg","22","7"
"285","H07_2","H07_2",,"1","1 3/8","80","Black 07","H-7","H7_2_1.jpg","12","15"
"286","H07_3","H07_3",,"1 1/2","7/8","80","Black 07","H-7","H7_3.jpg","20","29"
"287","H07_4","H07_4",,"7/8","7/8","80","Black 07","H-7","H7_4.jpg","10","29"
"288","H07_5","H07_5",,"3 1/2","7/8","80","Black 07","H-7","H7_5.jpg","42","29"
"289","H21_1","H21_1",,"1 1/4","7/8","81","Gray","H-21","H21_1_1.jpg","16","29"
"290","H21_2","H21_2",,"2","1 1/8","81","Gray","H-21","H21_2_1.jpg","28","11"
"293","G65_1","G65_1",,"13/16","1 1/8","82","Gilt","G-65","G65_1_1.jpg","9","11"
"294","G65_2","G65_2",,"1","1 5/16","82","Gilt","G-65","G65_2_1.jpg","12","14"
"295","G65_3","G65_3",,"1 1/16","1 3/4","82","Gilt","G-65","G65_3_1.jpg","13","20"
"297","G03_1","G03_1",,"1 3/4","1 1/4","85","Aria II","G-3","G03_1.jpg","24","13"
"298","G03_2","G03_2",,"2 1/2","1 3/8","85","Aria II","G-3","G03_2.jpg","33","15"
"299","G03_3","G03_3",,"3 1/2","1 5/8","85","Aria II","G-3","G_3_3.jpg","42","18"
"303","E19_1","E19_1",,"1 3/4","1 1/16","87","Plume","E-19","E19_1.jpg","24","10"
"304","E19_2","E19_2",,"3","1 3/8","87","Plume","E-19","E_19_2.jpg","37","15"
"305","E19_3","E19_3",,"1/2","1/4","87","Plume","E-19","E_19_3.jpg","4","4"
"312","XA33_1","XA33_1",,"3 5/8","1 1/8","89","Grano","N/A","A_33_1.jpg","43","11"
"316","NA_20","NA_20",,"1 5/16","3 5/16","146","Natural Wood","N/A","A-33_5.gif","17","32"
"317","XA35_1","XA35_1",,"3 5/8","1 3/4","90","Lasso","N/A","A-35_1.gif","43","20"
"319","D3_1","D3_1",,"1 5/8","7/8","91","Miore","D-3","D3_1_1.jpg","22","29"
"320","D3_2","D3_2",,"1","1 3/8","91","Miore","D-3","D3_2_1.jpg","12","15"
"322","D3_4","D3_4",,"3/4","5/8","91","Miore","D-3","D3_4.gif","8","31"
"323","D3_5","D3_5",,"2 9/16","7/8","91","Miore","D-3","D3_5.jpg","34","29"
"324","D3_6","D3_6",,"1","2 1/8","91","Miore","D-3","D3_6.gif","12","23"
"325","D3_7","D3_7",,"1 3/16","7/8","91","Miore","D-3","D3_7_1.jpg","15","29"
"326","D3_8","D3_8",,"1 5/8","1 3/8","91","Miore","D-3","D3_8.jpg","22","15"
"327","D3_9","D3_9",,"3/4","1 1/8","91","Miore","D-3","D3_9_1.jpg","8","11"
"329","E17_1","E17_1",,"3/4","1 1/16","95","Olea","E-17","E17_1.jpg","8","10"
